type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,title
white,6.6,0.21,0.5,8.7,0.036,41.0,191.0,0.99294,2.96,0.56,11.0,6,Pech Merle 2010 Treborce Zinfandel (Dry Creek Valley)
white,7.5,0.26,0.31,1.6,0.032,36.0,109.0,0.99044,2.97,0.43,11.9,6,Rivera 2004 Riserva Il Falcone Red (Castel del Monte)
white,7.5,0.34,0.28,4.0,0.028,46.0,100.0,0.98958,3.2,0.5,13.2,7,Vila 2005 Malbec (Mendoza)
white,6.7,0.37,0.25,2.5,0.028,24.0,84.0,0.9909,3.14,0.36,11.7,6,Jacob's Creek 2004 Reserve Cabernet Sauvignon (South Australia)
white,6.4,0.32,0.23,16.2,0.055,36.0,176.0,0.9986,3.26,0.54,9.1,5,Fielding Hills 2013 Estate Riverbend Vineyard Malbec (Wahluke Slope)
white,6.7,0.24,0.32,9.0,0.023,20.0,109.0,0.99262,3.34,0.35,12.6,6,Scaranto 2013 Red (Toscana)
white,6.4,0.32,0.23,16.2,0.055,36.0,176.0,0.9986,3.26,0.54,9.1,5,Telaya 2013 Syrah
white,7.1,0.39,0.79,1.4,0.194,23.0,90.0,0.99212,3.17,0.46,10.5,6,David James 2013 Cabernet Sauvignon (Columbia Valley (WA))
white,8.2,0.31,0.43,7.0,0.047,18.0,87.0,0.99628,3.23,0.64,10.6,5,Wairau River 2013 Sauvignon Blanc (Marlborough)
white,6.7,0.24,0.32,9.0,0.023,20.0,109.0,0.99262,3.34,0.35,12.6,6,Thurston Wolfe 2012 Howling Wolfe Reserve Zinfandel (Horse Heaven Hills)
white,5.9,0.17,0.29,3.1,0.03,32.0,123.0,0.98913,3.41,0.33,13.7,7,Thelema 2007 Sutherland Sauvignon Blanc (Elgin)
white,5.9,0.2,0.23,1.5,0.037,38.0,93.0,0.99021,3.36,0.49,12.0,6,Recanati 2005 Single Vineyard Reserve Kosher Cabernet Sauvignon (Galilee)
white,6.6,0.32,0.26,4.6,0.031,26.0,120.0,0.99198,3.4,0.73,12.5,7,Plumb Cellars 2011 Damn Straight Red (Columbia Valley (WA))
white,5.9,0.12,0.27,4.8,0.03,40.0,110.0,0.99226,3.55,0.68,12.1,6,Foppiano 2016 Estate Sauvignon Blanc (Russian River Valley)
white,5.9,0.18,0.29,4.6,0.032,68.0,137.0,0.99159,3.21,0.38,11.3,6,Malibu Rocky Oaks 2014 Reserve Cabernet Sauvignon (California)
white,5.9,0.2,0.23,1.5,0.037,38.0,93.0,0.99021,3.36,0.49,12.0,6,Waters 2015 Prelude White (Washington)
white,5.4,0.17,0.27,2.7,0.049,28.0,104.0,0.99224,3.46,0.55,10.3,6,La Selva 2015  Morellino di Scansano
white,6.1,0.21,0.3,6.3,0.039,47.0,136.0,0.99068,3.27,0.31,12.7,6,Castel Sallegg 2014 Leisen Sauvignon (Alto Adige)
white,7.3,0.25,0.26,7.2,0.048,52.0,207.0,0.99587,3.12,0.37,9.2,5,Tenuta Argentiera 2007 Argentiera  (Bolgheri Superiore)
white,7.3,0.25,0.26,7.2,0.048,52.0,207.0,0.99587,3.12,0.37,9.2,5,Anam Cara 2012 Nicholas Estate Dry Riesling (Chehalem Mountains)
white,6.2,0.22,0.3,12.4,0.054,108.0,152.0,0.99728,3.1,0.47,9.5,6,William Hill Estate 2013 Benchland Series Petit Verdot (Napa Valley)
white,6.5,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,6,Yunbar 2000 Sinner's Shiraz (Barossa Valley)
white,6.5,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,6,El Roy 2012 Nelson Vineyards Sauvignon Blanc (Dry Creek Valley)
white,6.6,0.39,0.22,4.0,0.038,17.0,98.0,0.99018,3.25,0.53,13.0,7,Dalton 2014 D Unoaked Pinot Gris (Galilee)
white,6.0,0.31,0.38,4.8,0.04,41.0,101.0,0.98968,3.24,0.56,13.1,6,Cennatoio 2011 Etrusco Sangiovese (Toscana)
white,8.4,0.23,0.32,1.3,0.048,59.0,113.0,0.99178,3.1,0.55,11.0,6,Lovingston 2012 Josie's Knoll Merlot (Monticello)
white,7.3,0.25,0.26,7.2,0.048,52.0,207.0,0.99587,3.12,0.37,9.2,5,Armosa 2008 Siclys Nero d'Avola (Sicilia)
white,6.0,0.22,0.25,11.1,0.056,112.0,177.0,0.9961,3.08,0.36,9.4,6,Col Vetoraz Spumanti NV Brut  (Prosecco di Valdobbiadene)
white,6.2,0.22,0.3,12.4,0.054,108.0,152.0,0.99728,3.1,0.47,9.5,6,Château Moncontour 2008 Sec  (Vouvray)
white,6.1,0.23,0.27,9.8,0.055,74.0,134.0,0.99534,3.16,0.4,10.2,6,Frog's Leap 1997 Cabernet Sauvignon (Napa Valley)
white,6.5,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,6,Love That Red 2016 Love That Rosé (Columbia Valley (WA))
white,7.3,0.36,0.54,13.3,0.054,63.0,193.0,0.99864,3.06,0.49,8.6,4,El Circulo 2004 Crianza  (Rioja)
white,7.6,0.37,0.51,11.7,0.094,58.0,181.0,0.99776,2.91,0.51,9.0,5,Fischer 2011 Gradenthal Red (Thermenregion)
white,6.7,0.26,0.51,8.0,0.062,50.0,194.0,0.99545,3.13,0.5,9.6,5,Jean Berteau 2014 Prestige White (Côtes du Rhône)
white,7.4,0.22,0.27,1.6,0.057,45.0,98.0,0.99299,3.29,0.44,9.9,7,Arrow Creek 2011 Coastal Series Pinot Noir (California)
white,6.1,0.22,0.28,16.55,0.059,54.0,135.0,0.99665,3.2,0.38,10.5,5,Herdade Grande 2012 Red (Alentejano)
white,7.1,0.28,0.31,1.5,0.053,20.0,98.0,0.99069,3.15,0.5,11.4,5,Paul O'Brien 2015 Bone Dry Riesling (Umpqua Valley)
white,6.5,0.35,0.31,10.2,0.069,58.0,170.0,0.99692,3.18,0.49,9.4,5,Purple Hands 2012 Pinot Noir (Willamette Valley)
white,6.8,0.73,0.2,6.6,0.054,25.0,65.0,0.99324,3.12,0.28,11.1,4,TerrAmore 2011 Nero d'Avola (Sicilia)
white,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,6,Stanburn 2011 Chardonnay (Virginia)
white,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,6,Domaine Chandon 2005 Reserve L'Argile Pinot Noir (Carneros)
white,7.1,0.2,0.37,1.5,0.049,28.0,129.0,0.99226,3.15,0.52,10.8,5,La Follette 2011 Manchester Ridge Vineyard Chardonnay (Mendocino Ridge)
white,6.8,0.33,0.31,7.4,0.045,34.0,143.0,0.99226,3.06,0.55,12.2,6,Gazur 2006  Ribera del Duero
white,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,6,Treos 2013 Founders Choice Estate Pinot Noir (Willamette Valley)
white,7.2,0.24,0.36,2.0,0.029,21.0,63.0,0.99076,3.13,0.63,12.5,6,Clos du Val 1998 Single Vineyard Pinot Noir (Carneros)
white,6.8,0.33,0.31,7.4,0.045,34.0,143.0,0.99226,3.06,0.55,12.2,6,Wiese & Krohn NV 20 Anos Tawny  (Port)
white,7.2,0.24,0.36,2.0,0.029,21.0,63.0,0.99076,3.13,0.63,12.5,6,1850 2015 Viognier (Calaveras County)
white,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,6,Château Belair 2006  Saint-Émilion
white,6.2,0.27,0.26,12.1,0.046,43.0,127.0,0.9951,3.16,0.37,10.8,6,Picket Fence 2007 Rodgers Creek Pinot Noir (Sonoma Coast)
white,6.4,0.38,0.26,8.2,0.043,28.0,98.0,0.99234,2.99,0.31,11.4,6,Binyamina 2010 Yogev Cabernet Sauvignon (Galilee)
white,7.1,0.2,0.37,1.5,0.049,28.0,129.0,0.99226,3.15,0.52,10.8,5,Quinta do Passadouro 2010 Late Bottled Vintage  (Port)
white,6.0,0.21,0.3,8.7,0.036,47.0,127.0,0.99368,3.18,0.39,10.6,5,Caparzo 2011 La Caduta  (Rosso di Montalcino)
white,7.0,0.34,0.1,3.5,0.044,17.0,63.0,0.9937,3.01,0.39,9.2,5,Taj 2012 Sauvignon Blanc (Sonoma Coast)
white,5.9,0.435,0.16,6.4,0.031,21.0,134.0,0.99151,3.24,0.46,12.2,6,Château de Parenchère 2014  Bordeaux Supérieur
white,7.0,0.25,0.33,2.1,0.021,17.0,76.0,0.99021,3.26,0.45,12.3,6,ONX 2015 Indie Tempranillo (Templeton Gap District)
white,6.7,0.26,0.29,7.7,0.038,40.0,179.0,0.99479,3.23,0.56,10.4,6,Domaine Bertagna 2008 Les Beaux-Monts  (Vosne-Romanée)
white,7.0,0.24,0.3,12.3,0.035,72.0,172.0,0.9954,2.99,0.57,10.4,6,Lucky Star 2011 Chardonnay (California)
white,8.5,0.23,0.34,1.3,0.035,54.0,110.0,0.99176,3.07,0.55,11.0,7,Peju 2007 Merlot (Napa Valley)
white,6.0,0.21,0.3,8.7,0.036,47.0,127.0,0.99368,3.18,0.39,10.6,5,Hazlitt 1852 Vineyards 2012 Cabernet Franc (Finger Lakes)
white,7.0,0.34,0.1,3.5,0.044,17.0,63.0,0.9937,3.01,0.39,9.2,5,Westerly 2011 Fletcher's Red (Happy Canyon of Santa Barbara)
white,4.8,0.65,0.12,1.1,0.013,4.0,10.0,0.99246,3.32,0.36,13.5,4,Baron De Ley 2008 Tres Viñas Blanco Reserva Viura-Malvasia-Garnacha Blanca White (Rioja)
white,6.1,0.22,0.38,2.8,0.144,12.0,65.0,0.9908,2.95,0.64,11.4,6,Trenza 2009 Tinto Red (Edna Valley)
white,5.8,0.27,0.26,3.5,0.071,26.0,69.0,0.98994,3.1,0.38,11.5,6,Sparkman 2010 Kingpin Cabernet Sauvignon (Red Mountain)
white,5.0,0.455,0.18,1.9,0.036,33.0,106.0,0.98746,3.21,0.83,14.0,7,Peregrine 2014 Sauvignon Blanc (Central Otago)
white,6.5,0.33,0.3,3.8,0.036,34.0,88.0,0.99028,3.25,0.63,12.5,7,CVA Canicattì 2015 Fileno Grillo (Sicilia)
white,6.5,0.33,0.3,3.8,0.036,34.0,88.0,0.99028,3.25,0.63,12.5,7,Blanchard & Lurton 2014 Gran Vin White (Vista Flores)
white,6.7,0.31,0.3,2.4,0.038,30.0,83.0,0.98867,3.09,0.36,12.8,7,Chilensis 2010 Lazuli Red (Maule Valley)
white,6.2,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7,Rex Hill 2011 Dijon Clone Chardonnay (Willamette Valley)
white,6.2,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7,Sonoma Coast Vineyards 2011 Laguna Vista Vineyards Sur Lees Selection Sauvignon Blanc (Sonoma Coast)
white,7.1,0.37,0.3,6.2,0.04,49.0,139.0,0.99021,3.17,0.27,13.6,6,Root:1 2014 Pinot Noir (Casablanca Valley)
white,7.2,0.23,0.82,1.3,0.149,70.0,109.0,0.99304,2.93,0.42,9.2,6,Quanta Terra 2014 Grande Reserva Branco White (Douro)
white,6.5,0.33,0.3,3.8,0.036,34.0,88.0,0.99028,3.25,0.63,12.5,7,Gran Rigau NV Brut Rosat Sparkling (Cava)
white,7.2,0.25,0.32,1.5,0.054,24.0,105.0,0.99154,3.17,0.48,11.1,6,Xavier Flouret 2013 Domaine la Gemière French Blonde  (Sancerre)
white,6.2,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7,Chateau Ste. Michelle 2001 Gewürztraminer (Columbia Valley (WA))
white,4.7,0.455,0.18,1.9,0.036,33.0,106.0,0.98746,3.21,0.83,14.0,7,La Crusset 2011 La Bella Fernanda Tempranillo Blanco (Rioja)
white,7.1,0.37,0.3,6.2,0.04,49.0,139.0,0.99021,3.17,0.27,13.6,6,Mercer 2014 Reserve Ode to Brothers Red (Horse Heaven Hills)
white,6.2,0.28,0.51,7.9,0.056,49.0,206.0,0.9956,3.18,0.52,9.4,5,Zolo 2012 Black Petit Verdot (Mendoza)
white,6.4,0.35,0.28,1.6,0.037,31.0,113.0,0.98779,3.12,0.4,14.2,7,Casa Rivas 2001 Estate Bottled Carmenère (Maipo Valley)
white,6.6,0.31,0.28,1.4,0.035,28.0,107.0,0.98836,3.0,0.4,13.2,6,Fattoria di Valiano 2009 Riserva  (Chianti Classico)
white,7.4,0.25,0.37,2.6,0.05,24.0,132.0,0.99138,3.04,0.53,11.2,6,Kilikanoon 2016 Mort's Block Riesling (Clare Valley)
white,7.3,0.36,0.34,14.8,0.057,46.0,173.0,0.99751,3.14,0.57,10.2,5,Belle Ambiance 2015 Pinot Grigio (California)
white,6.7,0.31,0.3,2.4,0.038,30.0,83.0,0.98867,3.09,0.36,12.8,7,Quinta do Casal Branco 2016 Terra de Lobos Branco White (Tejo)
white,8.6,0.31,0.3,0.9,0.045,16.0,109.0,0.99249,2.95,0.39,10.1,5,Pahlmeyer 2010 Pinot Noir (Sonoma Coast)
white,8.6,0.31,0.3,0.9,0.045,16.0,109.0,0.99249,2.95,0.39,10.1,5,Budini 2007 Chardonnay (Mendoza)
white,8.6,0.22,0.33,1.2,0.031,38.0,95.0,0.99239,2.83,0.31,10.3,5,Jean-Claude Debeaune 2014  Saint-Véran
white,6.9,0.14,0.29,9.9,0.056,30.0,91.0,0.99512,3.19,0.33,9.9,6,Pierre Sparr NV Marquis de Perlade Blanc de Blancs Brut Sparkling (Vin Mousseux)
white,6.5,0.22,0.31,3.9,0.046,17.0,106.0,0.99098,3.15,0.31,11.5,5,South Coast 2011 Wild Horse Peak Mountain Vineyard Lone Boulder Ridge Syrah (South Coast)
white,6.6,0.32,0.47,15.6,0.063,27.0,173.0,0.99872,3.18,0.56,9.0,5,Moura Basto 2010 Reserva Red (Douro)
white,6.6,0.32,0.47,15.6,0.063,27.0,173.0,0.99872,3.18,0.56,9.0,5,Girardet 1999 Reserve Pinot Noir (Umpqua Valley)
white,6.1,0.28,0.26,1.5,0.03,25.0,101.0,0.98894,3.03,0.41,12.1,6,AVA Grace Vineyards 2015 Chardonnay (California)
white,6.2,0.3,0.28,1.6,0.036,28.0,106.0,0.988245,3.14,0.41,13.3,6,Cave de Ribeauvillé 2009 Osterberg Grand Cru Clos du Zahnacker White (Alsace)
white,6.9,0.22,0.28,7.8,0.05,43.0,116.0,0.99326,3.22,0.6,11.5,8,Page Springs 2010 Clone 474 Colibri Vineyard Syrah (Cochise County)
white,8.7,0.31,0.21,5.6,0.039,28.0,67.0,0.99328,2.96,0.52,11.0,4,Kessler-Haak 2011 Pinot Noir (Sta. Rita Hills)
white,7.3,0.27,0.3,1.3,0.04,26.0,84.0,0.99222,3.28,0.53,10.7,6,Louis Latour 2015  Corton-Charlemagne
white,7.0,0.46,0.2,16.7,0.046,50.0,184.0,0.99898,3.08,0.56,9.4,5,Sattlerhof 2010 Kranachberg Sauvignon Blanc (Südsteiermark)
white,5.7,0.23,0.25,7.95,0.042,16.0,108.0,0.99486,3.44,0.61,10.3,6,Hall 2015 Sauvignon Blanc (Napa Valley)
white,6.5,0.36,0.36,6.7,0.185,51.5,151.0,0.99528,3.17,0.42,9.3,5,Concha y Toro 2011 Casillero del Diablo Reserva Cabernet Sauvignon (Central Valley)
white,8.2,0.18,0.38,1.1,0.04,41.0,92.0,0.99062,2.88,0.6,12.0,6,Château Lilian Ladouys 2011  Saint-Estèphe
white,6.2,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,6,Louis Latour 2010 Morgeot Premier Cru  (Chassagne-Montrachet)
white,6.9,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5,Germano Angelo 2008 Mondoca Dardi  (Barolo)
white,4.9,0.345,0.34,1.0,0.068,32.0,143.0,0.99138,3.24,0.4,10.1,5,Wine & Soul 2007 Pintas Red (Douro)
white,7.2,0.23,0.39,1.5,0.053,26.0,106.0,0.99166,3.18,0.47,11.1,6,Joseph Swan Vineyards 2010 Saralee's Vineyard Pinot Noir (Russian River Valley)
white,6.4,0.2,0.15,6.6,0.046,26.0,113.0,0.99408,2.99,0.58,9.9,6,Masút 2011 Estate Vineyard Pinot Noir (Mendocino County)
white,6.1,0.27,0.32,6.2,0.048,47.0,161.0,0.99281,3.22,0.6,11.0,6,Grgich Hills 2011 Fumé Blanc Estate Grown Dry Sauvignon Blanc (Napa Valley)
white,6.2,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,6,Val di Suga 2010 Poggio al Granchio  (Brunello di Montalcino)
white,6.0,0.3,0.33,2.1,0.042,31.0,127.0,0.98964,3.32,0.42,12.5,6,Artesa 2010 Sauvignon Blanc (Napa Valley)
white,6.1,0.3,0.32,2.2,0.042,41.0,142.0,0.98952,3.31,0.44,12.7,7,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois)
white,5.7,0.14,0.3,5.4,0.045,26.0,105.0,0.99469,3.32,0.45,9.3,5,Boeckel 2015 Riesling (Alsace)
white,6.9,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5,Château le Pré de la Lande 2006  Sainte-Foy Bordeaux
white,4.9,0.345,0.34,1.0,0.068,32.0,143.0,0.99138,3.24,0.4,10.1,5,Novy 2009 Rosella's Vineyard Chardonnay (Santa Lucia Highlands)
white,6.3,0.33,0.2,17.9,0.066,36.0,161.0,0.9991,3.14,0.51,8.8,5,Dutton Estate 2010 Kyndall's Reserve Chardonnay (Russian River Valley)
white,7.0,0.16,0.3,2.6,0.043,34.0,90.0,0.99047,2.88,0.47,11.2,6,Donna Olga 2010 Riserva  (Brunello di Montalcino)
white,8.4,0.22,0.3,1.3,0.038,45.0,122.0,0.99178,3.13,0.54,10.8,7,Winzer Krems 2011 Rosé (Niederösterreich)
white,6.3,0.33,0.2,17.9,0.066,36.0,161.0,0.9991,3.14,0.51,8.8,5,Bonair 2012 Chateau Puryear Vineyard Estate Bottled Malbec (Rattlesnake Hills)
white,7.0,0.16,0.3,2.6,0.043,34.0,90.0,0.99047,2.88,0.47,11.2,6,Matteo Correggia 2012  Roero
white,5.4,0.24,0.18,2.3,0.05,22.0,145.0,0.99207,3.24,0.46,10.3,5,Rarecat 2012 Charles Heintz Vineyard Chardonnay (Russian River Valley)
white,7.7,0.31,0.36,4.3,0.026,15.0,87.0,0.99152,3.11,0.48,12.0,5,Domaines Ott 2010 Château de Selle Rosé (Côtes de Provence)
white,5.6,0.185,0.19,7.1,0.048,36.0,110.0,0.99438,3.26,0.41,9.5,6,André Blanck et ses Fils 2010 Schlossberg Grand Cru Gewurztraminer (Alsace)
white,5.6,0.185,0.19,7.1,0.048,36.0,110.0,0.99438,3.26,0.41,9.5,6,Jean-Max Roger 2014 Cuvée Les Chantes Alouettes  (Pouilly-Fumé)
white,6.6,0.43,0.24,11.9,0.04,54.0,159.0,0.99622,3.14,0.54,9.8,6,Citari 2013 Friulano (San Martino della Battaglia)
white,7.6,0.39,0.46,11.7,0.084,55.0,170.0,0.99773,2.91,0.51,9.0,5,Marchesi di Barolo 2008 Madonna di Como  (Dolcetto d'Alba)
white,7.2,0.58,0.27,5.8,0.032,40.0,118.0,0.99088,3.17,0.53,13.0,7,Cheval Quancard 2016 Cuvée Clémence  (Entre-Deux-Mers)
white,6.0,0.34,0.32,3.8,0.044,13.0,116.0,0.99108,3.39,0.44,11.8,7,Solaria 2010 Riserva  (Brunello di Montalcino)
white,7.5,0.35,0.48,12.4,0.056,61.0,176.5,0.99803,2.97,0.52,8.8,5,En Garde 2013 Le Bijou Du Roi Cabernet Sauvignon (Diamond Mountain District)
white,7.3,0.38,0.23,6.5,0.05,18.0,102.0,0.99304,3.1,0.55,11.2,4,Pampas del Sur 2014 Estilo Malbec (Mendoza)
white,5.4,0.185,0.19,7.1,0.048,36.0,110.0,0.99438,3.26,0.41,9.5,6,Longship 2015 Wise Man Cabernet Sauvignon (Horse Heaven Hills)
white,6.3,0.27,0.51,7.6,0.049,35.0,200.0,0.99548,3.16,0.54,9.4,4,Trefethen 2007 Cabernet Sauvignon (Oak Knoll District)
white,6.5,0.29,0.52,7.9,0.049,35.0,192.0,0.99551,3.16,0.51,9.5,6,Domaine Chavet 2015  Menetou-Salon
white,6.4,0.17,0.3,2.8,0.034,33.0,125.0,0.99152,3.03,0.49,10.4,6,Koenig Vineyards 2006 Estate Vineyard Merlot
white,6.7,0.18,0.31,10.6,0.035,42.0,143.0,0.99572,3.08,0.49,9.8,7,Our Wine 2015 Vineyard Akhoebi Rkatsiteli (Kakheti)
white,6.4,0.17,0.3,2.8,0.034,33.0,125.0,0.99152,3.03,0.49,10.4,6,Twill 2014 Pinot Noir (Willamette Valley)
white,6.8,0.37,0.67,1.5,0.175,16.0,98.0,0.99244,3.06,0.56,10.3,6,Caracol Serrano 2013 Red (Jumilla)
white,6.3,0.27,0.51,7.6,0.049,35.0,200.0,0.99548,3.16,0.54,9.4,4,Vilafonté 2013 Series M Red (Paarl)
white,6.5,0.29,0.52,7.9,0.049,35.0,192.0,0.99551,3.16,0.51,9.5,6,Olsen Estates 2008 Heritage Syrah (Yakima Valley)
white,6.1,0.24,0.26,1.7,0.033,61.0,134.0,0.9903,3.19,0.81,11.9,7,Reynoso 2010 Estate Grown Syrah (Alexander Valley)
white,7.0,0.32,0.29,7.6,0.025,35.0,124.0,0.99162,3.15,0.65,12.8,7,Parallel 2013 Outer Limits Cabernet Sauvignon (Napa Valley)
white,6.9,0.27,0.25,7.5,0.03,18.0,117.0,0.99116,3.09,0.38,13.0,6,Cantina Tollo 2009 Riserva Cagiòlo  (Montepulciano d'Abruzzo)
white,6.5,0.29,0.53,1.7,0.04,41.0,192.0,0.9922,3.26,0.59,10.4,7,Domaine Carneros 2011 Pinot Noir (Carneros)
white,6.5,0.29,0.52,1.7,0.034,41.0,193.0,0.99223,3.25,0.59,10.4,6,Cinco Sentidos 2009 Torrontés (Mendoza)
white,6.1,0.22,0.25,12.1,0.035,54.0,135.0,0.99481,3.21,0.4,10.7,5,Aubichon Cellars 2008 Pinot Noir (Willamette Valley)
white,6.3,0.22,0.27,4.5,0.036,81.0,157.0,0.9928,3.05,0.76,10.7,7,Zaca Mesa 2014 Chapel G Syrah (Santa Ynez Valley)
white,6.1,0.24,0.26,1.7,0.033,61.0,134.0,0.9903,3.19,0.81,11.9,7,Mouchão 2009 Ponte das Canas Colheita Red (Alentejano)
white,5.6,0.23,0.25,8.0,0.043,31.0,101.0,0.99429,3.19,0.42,10.4,6,Midnight 2014 Estate Chardonnay (Paso Robles Willow Creek District)
white,7.0,0.32,0.29,7.6,0.025,35.0,124.0,0.99162,3.15,0.65,12.8,7,Luis Felipe Edwards 2006 Doña Bernarda Red (Colchagua Valley)
white,6.8,0.11,0.27,8.6,0.044,45.0,104.0,0.99454,3.2,0.37,9.9,6,Cà Vittoria NV Costa dei Peschi Brut  (Prosecco di Conegliano e Valdobbiadene)
white,6.8,0.11,0.27,8.6,0.044,45.0,104.0,0.99454,3.2,0.37,9.9,6,Château Pontet-Canet 2007  Pauillac
white,7.3,0.23,0.41,14.6,0.048,73.0,223.0,0.99863,3.16,0.71,9.4,6,Jean-Marc Bernhard 2013 Furstentum Grand Cru Pinot Gris (Alsace)
white,6.1,0.2,0.17,1.6,0.048,46.0,129.0,0.991,3.3,0.43,11.4,6,Gianfranco Alessandria 2011  Barolo
white,6.8,0.11,0.27,8.6,0.044,45.0,104.0,0.99454,3.2,0.37,9.9,6,Louis Max 2013 Les Plantenays  (Rully)
white,7.3,0.23,0.41,14.6,0.048,73.0,223.0,0.99863,3.16,0.71,9.4,6,Carr 2012 Sauvignon Blanc (Santa Ynez Valley)
white,6.9,0.2,0.41,1.1,0.06,36.0,104.0,0.99317,2.99,0.39,9.2,5,Wolfberger 2010 Signature Pinot Blanc (Alsace)
white,6.7,0.19,0.32,3.7,0.041,26.0,76.0,0.99173,2.9,0.57,10.5,7,Weingut Georg Albrecht Schneider 2013 Hummerthal Niersteiner Paterberg Trocken Riesling (Rheinhessen)
white,6.7,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7,Force Majeure 2009 Collaboration Series I Ciel du Cheval Vineyard Red (Red Mountain)
white,6.7,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7,Curtis 2009 Viognier (Santa Barbara County)
white,8.0,0.37,0.31,4.7,0.038,3.0,127.0,0.99186,2.9,0.72,12.1,5,Alta Vista 2015 Malbec Rosé (Mendoza)
white,6.7,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7,I Luoghi 2008 Podere Ritorti  (Bolgheri Superiore)
white,6.0,0.26,0.29,3.1,0.041,37.0,144.0,0.98944,3.22,0.39,12.8,7,Gigi Rosso 2013 Trecomuni  (Barolo)
white,6.4,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6,Château la Clide 2011 Moulin du Château la Clide  (Saint-Émilion)
white,6.4,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6,La Famiglia 2006 Barbera (Red Hills Lake County)
white,6.4,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6,Santa Ema 2010 Selected Terroir Cabernet Sauvignon (Maipo Valley)
white,6.4,0.25,0.57,1.0,0.062,21.0,122.0,0.99238,3.0,0.4,9.5,5,Château de Bel-Air 2007  Lalande de Pomerol
white,6.1,0.25,0.48,15.8,0.052,25.0,94.0,0.99782,3.07,0.45,9.2,6,Magnum Vinhos 2011 Ribeiro Santo Reserva Red (Dão)
white,6.8,0.14,0.35,1.5,0.047,40.0,117.0,0.99111,3.07,0.72,11.1,6,Gustave Lorentz 2010 Burg Riesling (Alsace)
white,6.5,0.38,0.26,5.2,0.042,33.0,112.0,0.99067,3.06,0.5,12.3,7,Shadowbox 2009 Cabernet Sauvignon (Napa Valley)
white,6.8,0.14,0.35,1.5,0.047,40.0,117.0,0.99111,3.07,0.72,11.1,6,Cruz de Piedra 2011 Garnacha (Calatayud)
white,5.4,0.15,0.32,2.5,0.037,10.0,51.0,0.98878,3.04,0.58,12.6,6,Armstrong Family 2011 David's Folly Red (Columbia Valley (WA))
white,6.4,0.25,0.57,1.0,0.062,21.0,122.0,0.99238,3.0,0.4,9.5,5,Renegade 2015 Rosé (Columbia Valley (WA))
white,6.1,0.25,0.48,15.8,0.052,25.0,94.0,0.99782,3.07,0.45,9.2,6,Michele Chiarlo 2011 Cerequio  (Barolo)
white,6.8,0.22,0.32,5.9,0.054,40.0,152.0,0.9938,3.2,0.57,10.8,6,Neumeister 2011 Moarfeitl Sauvignon Blanc (Südoststeiermark)
white,7.2,0.21,0.29,3.1,0.044,39.0,122.0,0.99143,3.0,0.6,11.3,6,Villa Andretti 2008 Dolcetto (California)
white,6.0,0.26,0.29,3.1,0.041,37.0,144.0,0.98944,3.22,0.39,12.8,7,Exuberance 2007 Syrah (Sonoma Valley)
white,6.4,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6,Château des Jacques 2012 Côte du Py  (Morgon)
white,6.5,0.46,0.24,11.5,0.051,56.0,171.0,0.99588,3.08,0.56,9.8,6,De Stefani 2016 Brut  (Conegliano Valdobbiadene Prosecco Superiore)
white,6.5,0.18,0.48,18.0,0.054,56.0,183.0,1.00038,2.98,0.61,8.5,6,Roots 2012 Racine Pinot Noir
white,6.2,0.32,0.12,4.8,0.054,6.0,97.0,0.99424,3.16,0.5,9.3,5,W.S. Keyes 2006 Merlot (Howell Mountain)
